"Sub"/"Number"/"Breadth"/"Title"/"Unit"
"1"/"AFRICAM"/"100"/"Social and Behavioral Sciences"/"Black Intellectual Thought"/4
"2"/"AFRICAM"/"101"/NA/"Research Methods for African American Studies"/4
"3"/"AFRICAM"/"107"/NA/"Race and Public Policy"/3
"4"/"AFRICAM"/"109"/NA/"Black and Male in American Life"/3
"5"/"AFRICAM"/"10A"/"International Studies"/"Intermediate Swahili"/4
"6"/"AFRICAM"/"10B"/"International Studies"/"Intermediate Swahili"/4
"7"/"AFRICAM"/"111"/"Social and Behavioral Sciences"/"Race, Class, and Gender in the United States"/3
"8"/"AFRICAM"/"111"/"Historical Studies"/"Race, Class, and Gender in the United States"/3
"9"/"AFRICAM"/"112A"/"International Studies"/"Political and Economic Development in the Third World"/4
"10"/"AFRICAM"/"112A"/"Social and Behavioral Sciences"/"Political and Economic Development in the Third World"/4
"11"/"AFRICAM"/"112B"/"Social and Behavioral Sciences"/"Political and Economic Development in the Third World"/4
"12"/"AFRICAM"/"112B"/"International Studies"/"Political and Economic Development in the Third World"/4
"13"/"AFRICAM"/"114"/NA/"Introduction to African Linguistics"/3
"14"/"AFRICAM"/"115"/NA/"Language and Social Issues in Africa"/3
"15"/"AFRICAM"/"116"/"Historical Studies"/"Slavery and African American Life Before 1865"/4
"16"/"AFRICAM"/"116"/"Social and Behavioral Sciences"/"Slavery and African American Life Before 1865"/4
"17"/"AFRICAM"/"117"/"Social and Behavioral Sciences"/"African Americans in the Industrial Age, 1865-1970"/4
"18"/"AFRICAM"/"117"/"Historical Studies"/"African Americans in the Industrial Age, 1865-1970"/4
"19"/"AFRICAM"/"118"/NA/"The Slave Trade and Culture in the Modern Atlantic World"/3
"20"/"AFRICAM"/"119"/NA/"Selected Topics in the Sociohistorical Development of the Black World"/1
"21"/"AFRICAM"/"12"/NA/"Intensive Elementary Swahili"/8
"22"/"AFRICAM"/"120"/NA/"Africa From Revolution to Globalization"/4
"23"/"AFRICAM"/"121"/"Historical Studies"/"Black Political Life in the United States"/4
"24"/"AFRICAM"/"121"/"Social and Behavioral Sciences"/"Black Political Life in the United States"/4
"25"/"AFRICAM"/"122"/"Historical Studies"/"African American Families in American Society"/3
"26"/"AFRICAM"/"122"/"Social and Behavioral Sciences"/"African American Families in American Society"/3
"27"/"AFRICAM"/"123"/"Historical Studies"/"Social and Political Thought in the Diaspora"/3
"28"/"AFRICAM"/"125"/"Historical Studies"/"History of the Civil Rights Movement"/4
"29"/"AFRICAM"/"131"/"Historical Studies"/"Caribbean Societies and Cultures"/3
"30"/"AFRICAM"/"131"/"Social and Behavioral Sciences"/"Caribbean Societies and Cultures"/3
"31"/"AFRICAM"/"131"/"International Studies"/"Caribbean Societies and Cultures"/3
"32"/"AFRICAM"/"134"/NA/"Information Technology and Society"/4
"33"/"AFRICAM"/"136"/NA/"Criminal Justice and the Community"/3
"34"/"AFRICAM"/"137"/NA/"Multicultural Communities"/3
"35"/"AFRICAM"/"138"/"Philosophy and Values"/"Black Nationalism"/4
"36"/"AFRICAM"/"138"/"Historical Studies"/"Black Nationalism"/4
"37"/"AFRICAM"/"138"/"Social and Behavioral Sciences"/"Black Nationalism"/4
"38"/"AFRICAM"/"139"/NA/"Selected Topics of African American Social Organization and Institutions"/1
"39"/"AFRICAM"/"140"/NA/"Special Topics in Cultural Studies"/1
"40"/"AFRICAM"/"141"/NA/"Race, Space and Inequality"/4
"41"/"AFRICAM"/"142A"/NA/"Third World Cinema"/4
"42"/"AFRICAM"/"144"/NA/"Introduction to Cultural Studies: Black Visual Culture"/4
"43"/"AFRICAM"/"14A"/"International Studies"/"Intermediate Zulu"/4
"44"/"AFRICAM"/"14B"/"International Studies"/"Intermediate Zulu"/4
"45"/"AFRICAM"/"150B"/NA/"African American Literature 1920 to Present"/3
"46"/"AFRICAM"/"152F"/"Social and Behavioral Sciences"/"Neo-Slave Narratives"/3
"47"/"AFRICAM"/"155"/NA/"Literature of the Caribbean: Significant Themes"/4
"48"/"AFRICAM"/"158A"/NA/"Poetry for the People: The Writing and Teaching of Poetry"/4
"49"/"AFRICAM"/"158B"/NA/"Poetry for the People: Practicum"/4
"50"/"AFRICAM"/"159"/NA/"Special Topics in African American Literature"/1
"51"/"AFRICAM"/"15A"/"International Studies"/"Advanced Swahili"/4
"52"/"AFRICAM"/"15B"/"International Studies"/"Advanced Swahili"/4
"53"/"AFRICAM"/"164"/NA/"Spoken Word: Oral Tradition & Transformation from Poetry to Hip Hop, Standup & Beyond"/3
"54"/"AFRICAM"/"165"/NA/"African American Poetry: Eyes on the Prize"/4
"55"/"AFRICAM"/"173AC"/"Philosophy and Values"/"Gandhi and the Civil Rights Movement in America"/3
"56"/"AFRICAM"/"173AC"/"Historical Studies"/"Gandhi and the Civil Rights Movement in America"/3
